,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,lee_eisenberg,theft of heft,10/10,24 August 2021,"One of the many great series on Netflix depicts a group of people breaking into Spain's national mint. ""La casa de papel"" (""Money Heist"" in English) is a series that you just gotta see. Rapid-fire dialogue, clever editing, and all sorts of twists and turns make this one of the best shows out there.
                
                    97 out of 159 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Money_heist
1,ma-cortes,"Awesome Spanish series with plenty of thrills , action , twists and turns",8/10,24 November 2018,"Creator Alex Pina's last one results to be a splendid series with great cast and manificently made . This Spanish thriller series deals with a group of armed people in disguise who try to steal a mint . Moving heist crime thriller filled with intense set pieces, nail-biting action and swiftly paced . This exciting , intriguing , suspenseful series takes place in Madrid , where occurs the spectacular robbing and kidnapping, it is carried out by a bunch of cunning delinquents : Ursula Corbero , Paco Tous , Pedro Alonso, Alba Flores, Miguel Herran , among others , led by the mysterious Professor: Álvaro Morte, who is controlling out of building . The takers must scramble a lot of twisted incidents , risks , dangers and violent happenings . At the same time , a clever Police Inspector : Itziar Ituño , will stop at nothing in getting catch them. The Perfect Robbery !.The World's Greatest Heist Comes to an End !.This is a thrilling narration of a stirring mint assault with exceptionally fine camera work , skill editing , several flashbacks and twisted plots . The series mingles action-packed, drama , suspense , love stories and spectacular sequences. This is a tricky great series about a coordinated hold-up that get worse when a Police Inspector , little by little , goes discovering the complex tracks of the twisted heist . The robbing is covered by various incidents , family relationships as the mistreated Inspector , her mother : Kiti Manver who suffers Alzheimer , as well as other happenings , as corruption , political events , disturbing lives of the thieves and many other things . Here stand out the three main starring : Ursula Corbero , Itziar Ituño and Alvaro Morte , they are the real stars of this top-drawer series , this trío gives top-notch acting , developing perfectly their meaty roles . Other chief excitement of this successful series resides in watching the excellent plethora of secondaries delivering attractive performances , such as Alba Flores , Paco Tous , Jaime Lorente , Pedro Alonso, Enrique Arce , Juan Fernández , Maria Pedraza , the veteran Kiti Manver , and several others.It contains a colorful and atmospheric cinematography by Miguel Amoedo , mainly shot in interior , Antena 3 studios and Madrid buildings . As well as a pulsating and stimulating musical score from Ivan Lacamara and Manel Santiesteban. This in another superbly powerful thriller series created by the great showrunner Alex Pina who previously made other good series , such as : El Barco, Vis a Vis , Los Hombres de Paco , Los Serrano and Periodistas . The series was stunningly directed by Miguel Angel Vivas , Jesus Colmenar , Javier Quintas , Alejandro Bazzano and Jesus Colmenar . This series will appeal to adrenaline lovers and those young people looking for strong emotions .This is the kind of series in which thriller enthusiasts will enjoy immensely , it's a must see.",Money_heist
2,searchanddestroy-1,What a mess!!!!,1/10,13 June 2018,"I expected far better than this. This Tv series is far too long, too much ""fat"", useless moments and characters, the playing is awful, unbelievable at the most, and this TV show is not brutal, not bloody enough for this kind of subject, of scheme. The producers intended to involve the largest audiences possible. Home audiences, the whole family. This brought cheesy situations, for sissies. NOT FOR ME. But I admit that there are good story lines, in the basic scheme, I mean, and interesting situations. But the whole is jeopardized by this non sense destined, I repeat, for the largest audiences possible.
                
                    210 out of 542 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Money_heist
3,grantss,"Clever and intriguing, initially, but gets dumber and dumber the longer it goes on",5/10,9 January 2019,"A band of robbers, lead by a man known simply as 'the Professor', infiltrate and rob the Spanish National Mint. They appear to bungle it, ending up holed up in the Mint with 67 hostages. But it's all part of the Professor's plan. If it succeeds, they'll make off with over $2 billion Euros.Entertaining, initially, and could have been a masterpiece. The initial plot - the plan to secure the Mint and make off with over $2 billion Euros - was very clever and intriguing. It was also engaging: you got to know the individual characters of the heisters, as well as who they were up against. From here on I expected a taught, gritty battle of wits and wills between the robbers and the police.Unfortunately, that didn't happen. Instead of being tight, the plot diverged into silly escapades. One escapade lead to another: robber has to fix some error, fixes it, unwittingly causes another issue, now has to fix that, rinse and repeat. What's worse, the errors, solutions and escapades were incredibly implausible, just being antics for action sake.In addition, having established their characters in the first few episodes, the robbers then do several things counter to their characters. It was as if the writers wrote each scene independent of what had happened before. It could not have been more random if they brought in a different writer for each episode, and told them not to read the scripts of the previous episodes.The further into the series one went, the worse it got. During the first season the good, clever plot developments generally outweighed the random, implausible, stupid ones. By Season Two it was open season, with dumb stuff being the norm. The dumb plot developments became predictable, eg you have a situation where a character has a choice and the logical thing, the thing people would do 100% of the time in real life, is to do A. However, A would mean the series ends, so the character does B, and the series continues.So the plot only makes sense if you're mind-bogglingly stupid.By the end I just wanted it to be over, so my intelligence would no longer be insulted. And yet it still got drawn out, by about 2-3 episodes too many.And apparently there's a Season 3 in the works. Considering how it ended, not sure how that's possible, but the producers did manage to turn what should have been a 8-or-so episode mini-series into a 2-season, 22-episode series.",Money_heist
4,deloudelouvain,Watch it in Spanish.,8/10,31 July 2020,"All my friends were talking about La Casa De Papel (I really don't get why you have to call it Money Heist) as it was the best series ever so I was really curious and excited to watch it. I waited a long time to start watching it but once I started I binge watched the first four seasons. So yes I admit it, it is addictive, you can't help to want to know what will happen in the next episode. That said the plot itself is sometimes very far fetched, in other words it would never happen like that in real life. The Professor thinks about every move the police will make, and that's fine, but sometimes it's just very unlikely and just a bit exaggerated. For that alone I can't rate this, for the rest excellent series, with a higher score. The cast is really good though, every actor did a great job, from the most annoying one to the heroes. Everyone will have their favorite character, some will die and some will survive, that what makes this show really entertaining, the not knowing what will happen. I strongly advise you watch this show in it's original language Spanish instead of watching it dubbed. It only adds to the excellent acting. I once tried to watch a dubbed thing, it's just awful, and I really don't get what people like about lips being out of synch. Can't wait for season five, let's bring it on.",Money_heist
5,jack_o_hasanov_imdb,La Casa De Papel,8/10,9 August 2021,"No matter how silly it is, the action never stops. But I didn't always want new episodes to come, it should have ended where it ended in the Spanish version.
                
                    28 out of 58 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Money_heist
6,pennyelenabooks,Good Enough,8/10,29 May 2019,"If you like movies like the italian job, than this show is for you. The drama doesn't really go off track when it came to presenting a well planed heist. Although there were some predictable parts, the overall result was wonderful. The performances were, as well, top notch. Another plus about this series is that the pace is well managed, so, even though the events take place during the course of a few days, the audiance doesn't fell bored. However, I do feel a bit uneasy about season three, as the heist is over after season two.",Money_heist
7,Top_Dawg_Critic,Don't forget to breathe 😱 🙌,10/10,19 April 2020,"I just finished binging both seasons, parts 1-4, and wow did this show hook me in right at the first episode.Novice actors were cast and their performances were outstanding, falling sympathetic to each ones skills, flaws and unique personalities.Directing was excellent, as was the cinematography. The story concept was brilliant, and played out with non-stop tension and suspense, and all the timelines and flashbacks were executed perfectly. Aside from some plot an technical issues, with a few pacing problems in some of the episodes - especially season 2, not a minute was wasted, and I found myself forgetting to breathe with the constant drama each episode offered.Some people thought season 2 was bad, but it had its plus an minuses compared to the first season, which was stellar. The difference is more character development and dynamics, which I enjoyed, but I do agree about some of the long dragged out episodes, ridiculous and illogical action scenes, and overdone drama. However, season 3 episode 8 is one of the best episodes I've ever seen, of any show, or for that matter movie. It needs to win every award possible. I also was not a fan of the final episode of the second season. It didn't have a resolution like the first season, but instead, was left with many cliffhangers and illogical plot twists. They needed to have one or two more episodes to wrap up and give its viewers closure, instead of opening up a new season in the same heist. That was just dumb.Nevertheless, it's the best international tv series I've seen, and in my top five of all time tv shows - right up there with Breaking Bad and Ozark. It's a well deserved 9.5 rounded up to 10/10 from me. Can't wait for part 5, and I hope it's sooner than later to relieve my frustration and anger how they closed out the last season. To see more of my 900+ reviews and 1000+ ratings, click on my username.",Money_heist
8,cjonesas,[9.9] Unique! Just unique...,10/10,1 July 2020,"Emotions are swirling in my head like a whirlpool, I'm speechless.. my eyes are bright with flashes of lightning, I didn't expect that.. I've never dreamed of such a masterpiece on reading its merits and then watching its four golden seasons back to back.But, here I am, shaken and in awe.
That's not a series, it's a masterpiece, it's like a living dream, a roller coaster of thrills and emotions, so intense, so vivid that you keep on living the moments with the group, with the protagonists and antagonists alike, but foremost with the group of robbers, spearheaded by the amazing and terrific Professor.Scene after scene, you come to root for them, to succeed, to make a difference, to try to change the system, to pass their message of resistance, like Robin Hood in modern times.The cast was one of the brightest cast that I've ever seen. They didn't just play and perform. They were a family. The chemistry and camaraderie between them were just amazing and oh so believable. If I could, I would congratulate them in person with tearful eyes. I, especially loved El Profesor, Berlin, Nairobi and Stockholm... Do believe that every one of the actors and actresses just shone.The screenplay, plots and sub-plots, cinematography and filming are worth tons of awards.The music and soundtrack, especially Bella Ciao alone were just memorable, rightly placed and enthralling. Loved every bit.The flow, development, pace and vibe of the show were near flawless, superb and super intense.La Casa de Papel will be remembered as a blinding diamond for many many years to come.
It is my opinion that It has set a new standard in TV shows, is a force to reckon with, while being truly unique and successful in its way of depiction and passing its message.It's a series that grabs your attention at all times until you finish it as quickly as possible, makes you enthusiastic like never before and brings unbelievable amounts of joy, excitement and thrills to your viewing experience.You will remember it for a long long time as one of the genre-defining TV shows of your existence.",Money_heist
9,cjonesas,The 100 out of 100 of my life,10/10,6 July 2021,"I already reviewed this amazing show a year ago.After a year, I return and again see the hatred towards the alleged HYPE that many viewers out there feel about La Casa de Papel.To all lovers and haters, please know, that's the only series that I would give a 100 if I could.It is that great, that amazing and that impactful.Happy binge-watching the first part of season 5 in September!
                
                    33 out of 64 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Money_heist
