,review_title,review_text,class
0,theft heft,one mny gret series netflix depicts group people breking spin ntionl mint ppel money heist english series tht gott see rpid fire dilogue clever editing sorts twists turns mke one best shows,2
1,awesome spanish series plenty thrills action twists turns,cretor alex pin lst one results splendid series gret cst mnificently mde spnish thriller series dels group rmed people disguise try stel mint moving heist crime thriller filled intense set pieces nil biting ction swiftly pced exciting intriguing suspenseful series tkes plce mdrid occurs spectculr robbing kidnpping crried bunch cunning delinquents ursul corbero pco tous pedro alonso alb flores miguel herrn mong others led mysterious professor lvro morte controlling building tkers must scrmble lot twisted incidents risks dngers violent hppenings sme time clever police inspector itzir itu stop nothing getting ctch perfect robbery world gretest heist comes end thrilling nrrtion stirring mint ssult exceptionlly fine cmer work skill editing severl flshbcks twisted plots series mingles ction pcked drm suspense love stories spectculr sequences tricky gret series bout coordinted hold tht get worse police inspector little little goes discovering complex trcks twisted heist robbing covered vrious incidents fmily reltionships mistreted inspector mother kiti mnver suffers alzheimer well hppenings corruption politicl events disturbing lives thieves mny things stnd three min strring ursul corbero itzir itu alvro morte rel strs top drwer series gives top notch cting developing perfectly mety roles chief excitement successful series resides wtching excellent plethor secondries delivering ttrctive performnces alb flores pco tous jime lorente pedro alonso enrique arce jun fern ndez mri pedrz vetern kiti mnver severl others contins colorful tmospheric cinemtogrphy miguel amoedo minly shot interior anten studios mdrid buildings well pulsting stimulting musicl score ivn lcmr mnel sntiestebn nother superbly powerful thriller series creted gret showrunner alex pin previously mde good series brco vis vis los hombres pco los serrno periodists series stunningly directed miguel angel vivs jesus colmenr jvier quints alejndro bzzno jesus colmenr series ppel drenline lovers young people looking strong emotions kind series thriller enthusists enjoy immensely must see,2
2,mess,expected better thn series long much useless moments chrcters plying wful unbelievble show not brutl not bloody enough kind subject scheme producers intended involve lrgest udiences possible home udiences whole fmily brought cheesy situtions sissies not dmit tht good story lines bsic scheme men interesting situtions whole jeoprdized non sense destined repet lrgest udiences possible,0
3,clever intriguing initially gets dumber dumber longer goes,bnd robbers led known simply nothe professor infiltrte rob spnish ntionl mint pper bungle ending holed mint hostges prt professor pln succeeds mke billion euros entertining initilly could hve msterpiece initil plot pln secure mint mke billion euros clever intriguing lso engging got know individul chrcters heisters well ginst expected tught gritty bttle wits wills robbers police unfortuntely tht not hppen insted tight plot diverged silly escpdes one escpde led nother robber fix error fixes unwittingly cuses nother issue fix tht rinse repet wht worse errors solutions escpdes incredibly implusible ntics ction ske ddition hving estblished chrcters first episodes robbers severl things counter chrcters writers wrote ech scene independent wht hppened could not hve rndom brought different writer ech episode told not red scripts previous episodes series one went worse got first seson good clever plot developments generlly outweighed rndom implusible stupid ones seson two open seson dumb stuff norm dumb plot developments becme predictble hve sitution chrcter choice logicl thing thing people would time rel life however would men series ends chrcter series continues plot mkes sense mind bogglingly stupid end wnted intelligence would longer insulted yet still got drwn bout episodes mny pprently seson works considering ended not sure tht possible producers mnge turn wht hve episode mini series seson episode series,1
4,watch spanish,friends tlking bout ppel relly not get hve cll money heist best series ever relly curious excited wtch wited long time strt wtching strted binge wtched first four sesons yes dmit ddictive not help wnt know wht hppen next episode tht sid plot sometimes fetched words would never hppen like tht rel life professor thinks bout every move police mke tht fine sometimes unlikely bit exggerted tht lone not rte rest excellent series higher score cst relly good though every ctor gret job nnoying one heroes everyone hve fvorite chrcter die survive tht wht mkes show relly entertining not knowing wht hppen strongly dvise wtch show originl lnguge spnish insted wtching dubbed dds excellent cting tried wtch dubbed thing wful relly not get wht people like bout lips synch not wit seson five let bring,2
5,casa papel,mtter silly ction never stops not lwys wnt new episodes come hve ended ended spnish version,2
6,good enough,like movies like itlin job thn show drm not relly trck cme presenting well plned heist although predictble prts overll result wonderful performnces well top notch another plus bout series tht pce well mnged even though events tke plce course dys udince not fell bored however feel bit unesy bout seson three heist fter seson two,2
7,not forget breathe,finished binging sesons prts wow show hook right first episode novice ctors cst performnces outstnding flling sympthetic ech ones skills flws unique personlities directing excellent cinemtogrphy story concept brillint plyed non stop tension suspense timelines flshbcks executed perfectly aside plot technicl issues pcing problems episodes especilly seson not minute wsted forgetting brethe constnt drm ech episode offered people thought seson plus minuses compred first seson stellr difference chrcter development dynmics enjoyed gree bout long drgged episodes ridiculous illogicl ction scenes overdone drm however seson episode one best episodes ever seen show tht mtter movie needs win every wrd possible lso not finl episode second seson not hve resolution like first seson insted left mny cliffhngers illogicl plot twists needed hve one two episodes wrp give viewers closure insted opening new seson sme heist tht dumb nevertheless best interntionl series seen top five time shows right breking ozrk well deserved rounded not wit prt hope sooner thn lter relieve frustrtion nger closed lst seson see reviews rtings click usernme,2
8,unique unique,emotions swirling hed like whirlpool speechless eyes bright flshes lightning not expect tht never dremed msterpiece reding merits wtching four golden sesons bck bck shken tht not series msterpiece like living drem roller coster thrills emotions intense vivid tht keep living moments group protgonists ntgonists like foremost group robbers sperheded mzing terrific professor scene fter scene come root succeed mke difference try chnge system pss messge resistnce like robin hood modern times cst one brightest cst tht ever seen not ply perform fmily chemistry cmrderie mzing believble could would congrtulte person terful eyes especilly loved profesor berlin nirobi stockholm believe tht every one ctors ctresses shone screenply plots sub plots cinemtogrphy filming worth tons wrds music soundtrck especilly bell cio lone memorble rightly plced enthrlling loved every bit flow development pce vibe show ner flwless superb super intense ppel remembered blinding dimond mny mny yers come opinion tht set new stndrd shows force reckon truly unique successful depiction pssing messge series tht grbs ttention times finish quickly possible mkes enthusistic like never brings unbelievble mounts joy excitement thrills viewing experience remember long long time one genre defining shows existence,2
9,life,lredy reviewed mzing show yer yer return gin see htred towrds lleged hype tht mny viewers feel bout ppel lovers hters plese know tht series tht would give could tht gret tht mzing tht impctful hppy binge wtching first prt seson september,2
